,Description,IncidentNum,Location,Agency,Date
216,FRAUDULENT USE OF CREDIT CARDS / MORE THAN 2 TIMES IN 6 MOS OR $100 OR MORE,2104030020844,0 BLOCK NW 40TH CT,Miami Police,20210403134801
217,THEFT - ALL OTHER,2104030020841,5000 BLOCK NE 2ND AV,Miami Police,20210403134001
218,ASSAULT,PD210403104381,2700 BLOCK NW 45TH ST,Miami-Dade Police,20210403133501
219,THEFT FROM MOTOR VEHICLE,21001890,4500 BLOCK PONCE DE LEON BLVD,Coral Gables Police,20210403133501
220,THEFT/LARCENY,PD210403104408,5500 BLOCK BLUE LAGOON DR,Miami-Dade Police,20210403131001
221,THEFT/LARCENY,PD210614188575,7700 BLOCK W FLAGLER ST,Miami-Dade Police,20210403130001
222,VEHICLE BREAK-IN/THEFT,PD210403104376,7900 BLOCK SW 40TH ST,Miami-Dade Police,20210403130001
223,FRAUD OTHER,21001889,1500 BLOCK CORNICHE AV,Coral Gables Police,20210403130001
224,FRAUD,PD210407109223,8600 BLOCK NW 186TH ST,Miami-Dade Police,20210403130001
225,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104030020842,0 BLOCK NW 40TH CT,Miami Police,20210403125901
226,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104030020842,0 BLOCK NW 40TH CT,Miami Police,20210403125901
227,THEFT/LARCENY,PD210403104335,14600 BLOCK S DIXIE HWY,Miami-Dade Police,20210403124601
228,ASSAULT,PD210430135306,1800 BLOCK NW 69TH ST,Miami-Dade Police,20210403124401
229,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104030020866,900 BLOCK SW 6TH ST,Miami Police,20210403123601
230,GRAND THEFT,2104030020846,NW 22ND AV / NW 3RD ST,Miami Police,20210403123301
231,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104030020833,200 BLOCK NE 54TH ST,Miami Police,20210403122501
232,BURGLARY,PD210403104305,9500 BLOCK SW 40TH ST,Miami-Dade Police,20210403121701
233,FRAUD,PD210403104285,4900 BLOCK NW 179TH TER,Miami-Dade Police,20210403120101
234,FRAUD,PD210510147616,15000 BLOCK SW 168TH TER,Miami-Dade Police,20210403120001
235,MOTOR VEHICLE THEFT,PD210406107240,1800 BLOCK NW 121ST ST,Miami-Dade Police,20210403120001
236,MOTOR VEHICLE THEFT,PD210404105856,15400 BLOCK SW 86TH TER,Miami-Dade Police,20210403120001
237,THEFT/LARCENY,PD210403104283,3200 BLOCK NW 80TH TER,Miami-Dade Police,20210403114200
238,BURGLARY - RESIDENCE,2104030020825,3200 BLOCK SW 21ST ST,Miami Police,20210403114000
239,THEFT - ALL OTHER,2104030020818,1500 BLOCK NW 59TH ST,Miami Police,20210403113500
240,BURGLARY - OTHER STRUCTURE,2104030020847,1900 BLOCK NW 1ST ST,Miami Police,20210403113100
241,THEFT/LARCENY,PD210403104255,3200 BLOCK NW 79TH ST,Miami-Dade Police,20210403113000
242,ASSAULT,PD210403104253,600 BLOCK NW 103RD ST,Miami-Dade Police,20210403112700
243,THEFT - ALL OTHER,2104030020824,1800 BLOCK NW 5TH PL,Miami Police,20210403111600
244,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,2104030020830,1600 BLOCK NW 17TH AV,Miami Police,20210403111400
245,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,2104030020830,1600 BLOCK NW 17TH AV,Miami Police,20210403111400
246,BATTERY / DOMESTIC,2104030020817,800 BLOCK BISCAYNE BLVD,Miami Police,20210403111100
247,BATTERY / DOMESTIC,2104030020817,800 BLOCK BISCAYNE BLVD,Miami Police,20210403111100
248,THEFT FROM MOTOR VEHICLE,21001887,100 BLOCK EDGEWATER DR,Coral Gables Police,20210403110400
249,BURGLARY,PD210405106540,3400 BLOCK NW 25TH ST,Miami-Dade Police,20210403110000
250,THEFT/LARCENY,PD210412114610,16600 BLOCK SW 44TH LN,Miami-Dade Police,20210403110000
251,AUTO THEFT - OTHER,012104000073,"5800 BLOCK SW 25TH ST, WEST PARK",Broward County Sheriff,20210403105900
252,THEFT - FROM MOTOR VEHICLE,2104030020827,300 BLOCK W FLAGLER ST,Miami Police,20210403105600
253,THEFT/LARCENY,PD210403104226,20900 BLOCK SAN SIMEON WAY,Miami-Dade Police,20210403104600
254,THEFT/LARCENY,PD210403104224,5800 BLOCK NW 177TH ST,Miami-Dade Police,20210403104400
255,PETIT THEFT,2104030020812,3400 BLOCK N MIAMI AV,Miami Police,20210403104200
256,"GRAND THEFT - UNSPECIFIED - GREATER THAN $100,000",2104030020809,0 BLOCK SW 3RD ST,Miami Police,20210403103500
257,THEFT - ALL OTHER,2104030020805,3000 BLOCK SW 11TH ST,Miami Police,20210403102300
258,BURGLARY / CONVEYANCE: NOT OCCUPIED - NO WEAPON,2104030020821,3100 BLOCK NW 18TH ST,Miami Police,20210403101700
259,THEFT - FROM MOTOR VEHICLE,2104030020821,3100 BLOCK NW 18TH ST,Miami Police,20210403101700
260,BURGLARY / CONVEYANCE: NOT OCCUPIED - NO WEAPON,2104030020821,3100 BLOCK NW 18TH ST,Miami Police,20210403101700
261,BURGLARY / CONVEYANCE: NOT OCCUPIED - NO WEAPON,2104030020821,3100 BLOCK NW 18TH ST,Miami Police,20210403101700
262,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104030020810,3600 BLOCK NW 19TH AV,Miami Police,20210403100500
263,CRIMINAL MISCHIEF / VANDALISM,2104030020807,NW 16TH AV / NW 29TH ST,Miami Police,20210403100000
264,THEFT/LARCENY,PD210405106508,3400 BLOCK NW 25TH ST,Miami-Dade Police,20210403100000
265,ASSAULT,PD210403104209,NW 36TH ST & NW 72ND AVE,Miami-Dade Police,20210403100000
266,THEFT - ALL OTHER,2104030020804,1300 BLOCK NW 45TH ST,Miami Police,20210403095300
267,VANDALISM,PD210403104200,1000 BLOCK NW 79TH ST,Miami-Dade Police,20210403094500
268,THEFT/LARCENY,PD210403104301,MIA-CC H-CAROUSEL 6-L1,Miami-Dade Police,20210403094000
269,AUTO THEFT,2104030020811,1300 BLOCK SW 4TH ST,Miami Police,20210403094000
270,AUTO THEFT,2104030020801,1100 BLOCK BISCAYNE BLVD,Miami Police,20210403093700
271,AUTO THEFT,2104030020801,1100 BLOCK BISCAYNE BLVD,Miami Police,20210403093700
272,VANDALISM,PD210403104725,16800 BLOCK SW 144TH PL,Miami-Dade Police,20210403092000
273,FRAUD,PD210408109821,7500 BLOCK SW 152ND AVE,Miami-Dade Police,20210403091700
274,MOTOR VEHICLE THEFT,PD210403104169,4400 BLOCK SW 127TH PL,Miami-Dade Police,20210403091700
275,FRAUD,PD210719228446,11200 BLOCK SW 40TH ST,Miami-Dade Police,20210403090000
276,AUTO THEFT,2104030020793,4800 BLOCK SW 8 ST,Miami Police,20210403084800
277,AUTO THEFT,2104030020793,4700 BLOCK SW 7TH ST,Miami Police,20210403084800
278,SIMPLE BATTERY,2104030020790,100 BLOCK NW 9TH AV,Miami Police,20210403080200
279,THEFT/LARCENY,PD210407109362,15900 BLOCK SW 105TH AVE,Miami-Dade Police,20210403080000
280,THEFT/LARCENY,PD210406107787,9200 BLOCK SW 88TH ST,Miami-Dade Police,20210403080000
281,BATTERY,332104055285,6100 BLOCK FUNSTON ST,Hollywood Police,20210403075200
282,FRAUD,PD210412115023,14900 BLOCK SW 39TH ST,Miami-Dade Police,20210403070000
283,THEFT/LARCENY,PD210403104846,2500 BLOCK NW 92ND ST,Miami-Dade Police,20210403070000
284,DRUGS/ALCOHOL VIOLATIONS,PD210403104094,3200 BLOCK NW 79TH ST,Miami-Dade Police,20210403065800
285,ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,2104030020788,3500 BLOCK NW 12TH AV,Miami Police,20210403062700
286,ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,2104030020788,3500 BLOCK NW 12TH AV,Miami Police,20210403062700
287,THEFT - FROM MOTOR VEHICLE,2104030020785,500 BLOCK SW 7TH ST,Miami Police,20210403055100
288,THEFT/LARCENY,PD210403104065,14700 BLOCK NE 6TH AVE,Miami-Dade Police,20210403045500
289,DUI - CAUSES DAMAGE TO PERSON OR PROPERTY,2104030020778,NW 17TH AV / NW 71ST ST,Miami Police,20210403040200
290,BATTERY / SIMPLE,2104030020777,100 BLOCK SE 1ST ST,Miami Police,20210403034600
291,THEFT - ALL OTHER,2104030020770,1200 BLOCK BRICKELL BAY DR,Miami Police,20210403033100
292,THEFT/LARCENY,PD210403104222,4800 BLOCK SW 82ND AVE,Miami-Dade Police,20210403032300
293,ROBBERY,PD210403104046,NW 79TH ST & NW 17TH AVE,Miami-Dade Police,20210403031500
294,THEFT/LARCENY,PD210403104124,7900 BLOCK NW 154TH ST,Miami-Dade Police,20210403030000
295,ASSAULT,PD210405106447,4000 BLOCK NW 36TH AVE,Miami-Dade Police,20210403030000
296,ASSAULT,PD210403104023,100 BLOCK NW 167TH ST,Miami-Dade Police,20210403025000
297,THEFT/LARCENY,PD210403104195,14700 BLOCK SW 174TH ST,Miami-Dade Police,20210403024000
298,BATTERY / DOMESTIC,2104030020767,700 BLOCK NW 24TH AV,Miami Police,20210403023900
299,ASSAULT,PD210403104007,1900 BLOCK NW 60TH ST,Miami-Dade Police,20210403021800
300,ASSAULT,PD210403104052,7300 BLOCK NW 174TH TER,Miami-Dade Police,20210403020000
301,FRAUD ELECTRONIC / COMPUTER / WIRE,21001882,200 BLOCK CALABRIA AV,Coral Gables Police,20210403012000
302,MOTOR VEHICLE THEFT,PD210403104158,8100 BLOCK SW 72ND AVE,Miami-Dade Police,20210403010000
303,THEFT/LARCENY,PD210409111400,14900 BLOCK SW 192ND AVE,Miami-Dade Police,20210403010000
304,SIMPLE BATTERY,2104030020755,3800 BLOCK  NE 6TH AVE,Miami Police,20210403002200
305,ASSAULT,PD210403103948,800 BLOCK NW 80TH ST,Miami-Dade Police,20210403002200
306,FRAUD,PD210408109726,9400 BLOCK SW 110TH TER,Miami-Dade Police,20210403000000
307,FRAUD,PD210617191865,MIA-CC E-RENTAL CAR COUNTERS-L1,Miami-Dade Police,20210403000000
308,VANDALISM,PD210403104136,10900 BLOCK NW 14TH AVE,Miami-Dade Police,20210403000000
309,VANDALISM,PD210405106890,3400 BLOCK NW 25TH ST,Miami-Dade Police,20210403000000
310,THEFT/LARCENY,PD210503139068,3100 BLOCK NW 27TH ST,Miami-Dade Police,20210403000000
311,CRIMINAL MISCHIEF / VANDALISM,2104030020735,2400 BLOCK SW 27TH ST,Miami Police,20210402235301
312,DISCHARGE FIREARM IN PUBLIC,2104030020737,300 BLOCK NE 80TH TER,Miami Police,20210402234701
313,CARRYING CONCEALED FIREARM,2104020020732,NW 7TH AV / NW 20TH ST,Miami Police,20210402232601
314,THEFT/LARCENY,PD210402103860,11400 BLOCK NW 7TH AVE,Miami-Dade Police,20210402231201
315,SIMPLE BATTERY,2104020020557,4200 BLOCK NW 11TH ST,Miami Police,20210402231001
316,THEFT/LARCENY,PD210403104168,3400 BLOCK NW 25TH ST,Miami-Dade Police,20210402230001
317,BATTERY / SIMPLE,2104020020723,2700 BLOCK NW 3RD ST,Miami Police,20210402224401
318,VANDALISM,PD210402103838,3200 BLOCK NW 79TH ST,Miami-Dade Police,20210402222701
319,ASSAULT,PD210402103819,NW 18TH AVE & NW 63RD ST,Miami-Dade Police,20210402220901
320,THEFT/LARCENY,PD210403104097,8000 BLOCK NW MIAMI CT,Miami-Dade Police,20210402220601
321,THEFT/LARCENY,PD210402103792,6400 BLOCK NW 27TH AVE,Miami-Dade Police,20210402215601
322,WEAPONS,PD210402103797,5900 BLOCK NW 183RD ST,Miami-Dade Police,20210402215501
323,BURGLARY AND THEFT FROM CURTILAGE,21001877,1400 BLOCK SANTA CRUZ AV,Coral Gables Police,20210402213101
324,THEFT/LARCENY,PD210403104329,800 BLOCK NW 105TH ST,Miami-Dade Police,20210402210001
325,ASSAULT,PD210402103774,12000 BLOCK SW 171ST TER,Miami-Dade Police,20210402210001
326,WEAPONS,PD210402103739,NW 27TH AVE & NW 53RD ST,Miami-Dade Police,20210402204201
327,DRUG POSSESSION CONTROLLED SUBSTANCE,21001869,5700 BLOCK PONCE DE LEON BLVD,Coral Gables Police,20210402203501
328,ASSAULT,PD210402103737,1200 BLOCK SW 130TH AVE,Miami-Dade Police,20210402203001
329,VEHICLE BREAK-IN/THEFT,PD210403104239,9100 BLOCK SW 77TH AVE,Miami-Dade Police,20210402203001
330,PETIT THEFT - FROM MOTOR VEHICLE / LESS THAN $100,2104020020711,500 BLOCK SW 42ND AV,Miami Police,20210402203001
331,THEFT BY SHOPLIFTING,21001876,1100 BLOCK S DIXIE HWY,Coral Gables Police,20210402200901
332,FRAUD,PD210403104257,9900 BLOCK SW 40TH ST,Miami-Dade Police,20210402200201
333,THEFT/LARCENY,PD210403104180,10600 BLOCK SW 108TH AVE,Miami-Dade Police,20210402200001
334,THEFT OTHER,210402006340,10700 BLOCK NW 74TH ST,Doral Police,20210402195601
335,ASSAULT,PD210402103653,2400 BLOCK NW 104TH ST,Miami-Dade Police,20210402192401
336,THEFT - OF MOTOR VEHICLE PARTS,2104020020690,2700 BLOCK W FLAGLER ST,Miami Police,20210402192301
337,CRIMINAL MISCHIEF / VANDALISM,2104020020694,SW 35TH AV/ SW 6TH ST,Miami Police,20210402190701
338,BATTERY / DOMESTIC,2104020020692,1300 BLOCK SW 1ST ST,Miami Police,20210402190701
339,THEFT - ALL OTHER,2104020020693,200 BLOCK SW 63RD CT,Miami Police,20210402183301
340,THEFT/LARCENY,PD210403104185,200 BLOCK SW 76TH CT,Miami-Dade Police,20210402183001
341,THEFT/LARCENY,PD210402103579,11900 BLOCK SW 152ND ST,Miami-Dade Police,20210402181801
342,GRAND THEFT - A FIREARM,2104020020683,6700 BLOCK NE 1ST CT,Miami Police,20210402181501
343,RETAIL THEFT,2104020020684,1700 BLOCK BISCAYNE BLVD,Miami Police,20210402181201
344,THEFT/LARCENY,PD210403104252,10300 BLOCK SW 187TH ST,Miami-Dade Police,20210402180001
345,VANDALISM,PD210402103765,12500 BLOCK NW 28TH AVE,Miami-Dade Police,20210402180001
346,THEFT/LARCENY,PD210402103619,13800 BLOCK SW 120TH ST,Miami-Dade Police,20210402174701
347,BATTERY / SIMPLE,2104020020671,300 BLOCK SW 30TH AVE,Miami Police,20210402174601
348,THEFT - FROM MOTOR VEHICLE,2104020020676,400 BLOCK SW 11TH AV,Miami Police,20210402173801
349,VANDALISM,PD210415118080,8800 BLOCK SW 130TH CT,Miami-Dade Police,20210402173001
350,CRIMINAL MISCHIEF / VANDALISM,2104020020679,600 BLOCK NE 24TH ST,Miami Police,20210402172301
351,THEFT/LARCENY,PD210402103705,3200 BLOCK NW 79TH ST,Miami-Dade Police,20210402172001
352,ASSAULT,PD210402103516,7200 BLOCK SW 168TH ST,Miami-Dade Police,20210402171501
353,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),2104020020689,5500 BLOCK N MIAMI AVE,Miami Police,20210402170401
354,THEFT/LARCENY,PD210403104156,2500 BLOCK SW 88TH AVE,Miami-Dade Police,20210402170001
355,FRAUD,PD210403104187,17400 BLOCK SW 85TH AVE,Miami-Dade Police,20210402170001
356,BURGLARY,PD210403104378,600 BLOCK NE 167TH ST,Miami-Dade Police,20210402170001
357,ASSAULT,PD210405106316,18900 BLOCK SW 106TH AVE,Miami-Dade Police,20210402170001
358,BATTERY,192104000034,"4000 BLOCK SW 24TH ST, WEST PARK",Broward County Sheriff,20210402164801
359,ASSAULT,PD210402103453,UNKNOWN ADDRESS,Miami-Dade Police,20210402163001
360,THEFT/LARCENY,PD210403104122,11100 BLOCK SW 107TH ST,Miami-Dade Police,20210402163001
361,AUTO THEFT,2104020020649,200 BLOCK NE 14TH ST,Miami Police,20210402161901
362,AUTO THEFT,2104020020649,200 BLOCK NE 14TH ST,Miami Police,20210402161901
363,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104020020656,NW 2ND AV / W FLAGLER ST,Miami Police,20210402161301
364,FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,2104020020642,3100 BLOCK NW 20TH ST,Miami Police,20210402160501
365,ASSAULT,PD210402103413,17400 BLOCK SW 103RD AVE,Miami-Dade Police,20210402160301
366,FRAUD,PD210402103419,7300 BLOCK NW 46TH ST,Miami-Dade Police,20210402160001
367,WEAPONS,PD210402103492,1400 BLOCK NW 122ND ST,Miami-Dade Police,20210402160001
368,THEFT/LARCENY,PD210405106219,9300 BLOCK SW 158TH AVE,Miami-Dade Police,20210402160001
369,THEFT/LARCENY,PD210402103448,00 BLOCK NW 167TH ST,Miami-Dade Police,20210402160001
370,THEFT BY SHOPLIFTING,210402006323,1400 BLOCK NW 107TH AVE,Doral Police,20210402160001
371,THEFT - ALL OTHER,2104020020686,5700 BLOCK SW 5TH TER,Miami Police,20210402155601
372,THEFT/LARCENY,PD210419122974,12400 BLOCK SW 88TH ST,Miami-Dade Police,20210402155401
373,AUTO THEFT,2104020020633,2800 BLOCK NW 4TH TER,Miami Police,20210402154901
374,THEFT - OF MOTOR VEHICLE PARTS,2104020020629,2600 BLOCK SW 9TH ST,Miami Police,20210402154001
375,CRIMINAL MISCHIEF (OVER $200 LESS THAN $1000),2104020020640,2700 BLOCK SW 29TH AV,Miami Police,20210402153901
376,RETAIL THEFT,2104020020637,1100 BLOCK SW 8TH ST,Miami Police,20210402153201
377,VANDALISM,PD210402103420,1700 BLOCK NW 119TH ST,Miami-Dade Police,20210402153001
378,BURGLARY AND THEFT FROM CURTILAGE,21001868,00 BLOCK ALHAMBRA PLZ,Coral Gables Police,20210402152301
379,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104020020648,BISCAYNE BLVD / NE 10TH ST,Miami Police,20210402152001
380,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104020020666,1600 BLOCK NW 29TH AV,Miami Police,20210402151601
381,THEFT/LARCENY,PD210403104481,MIA-FLAMINGO-BB-L2,Miami-Dade Police,20210402150001
382,BATTERY / AGGRAVATED / PERSON 65 YEARS OF AGE OR OLDER,2104020020626,800 BLOCK NW 4TH ST,Miami Police,20210402145901
383,BURGLARY,PD210402103360,2000 BLOCK NW 65TH ST,Miami-Dade Police,20210402145401
384,THEFT/LARCENY,PD210402103364,11300 BLOCK NW 27TH AVE,Miami-Dade Police,20210402145201
385,THEFT/LARCENY,PD210402103338,18600 BLOCK SW 107TH AVE,Miami-Dade Police,20210402144701
386,STALKING,332104054865,5700 BLOCK RODMAN ST,Hollywood Police,20210402143901
387,THEFT - OF MOTOR VEHICLE PARTS,2104020020621,100 BLOCK NW 79TH ST,Miami Police,20210402143001
388,VEHICLE BREAK-IN/THEFT,PD210402103421,7500 BLOCK N KENDALL DR,Miami-Dade Police,20210402143001
389,VEHICLE BREAK-IN/THEFT,PD210402103322,7300 BLOCK CORAL WAY,Miami-Dade Police,20210402142501
390,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104020020624,200 BLOCK SE 2ND ST,Miami Police,20210402142201
391,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104020020624,200 BLOCK SE 2ND ST,Miami Police,20210402142201
392,ASSAULT / AGG / WITH A DEADLY WEAPON WITHOUT INTENT TO KILL,2104020020613,5500 BLOCK NW 7TH CT,Miami Police,20210402142101
393,BATTERY / AGG / DOMESTIC,2104020020612,3700 BLOCK DAY AV,Miami Police,20210402140001
394,AGGRAVATED BATTERY,2104020020612,3700 BLOCK DAY AV,Miami Police,20210402140001
395,BATTERY / AGG / DOMESTIC,2104020020612,3700 BLOCK DAY AV,Miami Police,20210402140001
396,THEFT/LARCENY,PD210402103377,3200 BLOCK NW 81ST TER,Miami-Dade Police,20210402140001
397,FRAUD,PD210504140072,5000 BLOCK SW 154TH AVE,Miami-Dade Police,20210402140001
398,THEFT/LARCENY,PD210405106925,MIA-CC J-OTHER-L2,Miami-Dade Police,20210402140001
399,THEFT/LARCENY,PD210403104000,9100 BLOCK N KENDALL DR,Miami-Dade Police,20210402140001
400,VANDALISM,PD210402103351,7000 BLOCK SW 106TH PL,Miami-Dade Police,20210402134501
401,ASSAULT,PD210402103281,NW 103RD ST & NW 27TH AVE,Miami-Dade Police,20210402134001
402,WEAPONS,PD210402103277,NW 12TH AVE & NW 95TH ST,Miami-Dade Police,20210402133301
403,CRIMINAL MISCHIEF,332104054811,3800 BLOCK WASHINGTON ST,Hollywood Police,20210402130801
404,ROBBERY - STRONG ARM,2104020020602,1600 BLOCK NW 3RD AV,Miami Police,20210402130601
405,ROBBERY - STRONG ARM,2104020020602,1600 BLOCK NW 3RD AV,Miami Police,20210402130601
406,ROBBERY - STRONG ARM,2104020020602,1600 BLOCK NW 3RD AV,Miami Police,20210402130601
407,ASSAULT,PD210402103235,15600 BLOCK NW 7TH AVE,Miami-Dade Police,20210402130101
408,ASSAULT,PD210402103229,1500 BLOCK NW 93RD ST,Miami-Dade Police,20210402125301
409,SIMPLE BATTERY,210402006313,3900 BLOCK NW 79TH AVE,Doral Police,20210402124901
410,THEFT/LARCENY,PD210402103236,20700 BLOCK NE 208TH TER,Miami-Dade Police,20210402124501
411,UTTERING FORGED BILLS/COUNTERFEIT NOTE/PROMISSORY NOTE: INTENT TO DEFRAUD,2104020020609,0 BLOCK NE 1ST AV,Miami Police,20210402123901
412,AUTO THEFT,012104000044,"2000 BLOCK S STATE ROAD 7, WEST PARK",Broward County Sheriff,20210402122601
413,SIMPLE BATTERY,2104020020615,1000 BLOCK NW 3RD AV,Miami Police,20210402122501
414,CRIMINAL MISCHIEF / VANDALISM,2104020020588,3400 BLOCK SW 6TH ST,Miami Police,20210402121901
415,"FELONY BATTERY (CAUSES) GREAT BODILY HARM, PERM DISABILITY OR DISFIGUREMENT",2104020020587,2800 BLOCK SW 32ND CT,Miami Police,20210402121801
416,THEFT/LARCENY,PD210402103348,3600 BLOCK NW 21ST ST,Miami-Dade Police,20210402121501
417,THEFT/LARCENY,PD210406107407,2400 BLOCK NW 68TH ST,Miami-Dade Police,20210402120001
418,THEFT/LARCENY,PD210601173120,6300 BLOCK SW 138TH PL,Miami-Dade Police,20210402120001
419,FRAUD,PD210412114966,8600 BLOCK SW 162ND ST,Miami-Dade Police,20210402120001
420,VEHICLE BREAK-IN/THEFT,PD210402103175,3800 BLOCK SW 87TH AVE,Miami-Dade Police,20210402115400
421,THEFT/LARCENY,PD210402103220,15200 BLOCK S RIVER DR,Miami-Dade Police,20210402114500
422,BURGLARY - RESIDENCE,2104020020583,1500 BLOCK NW 2ND ST,Miami Police,20210402114000
423,ASSAULT,PD210402103149,7900 BLOCK NW 27TH AVE,Miami-Dade Police,20210402113200
424,CRIMINAL MISCHIEF / VANDALISM,2104020020576,1100 BLOCK SW 19TH AV,Miami Police,20210402112900
425,FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,2104020020563,0 BLOCK SW 9TH ST,Miami Police,20210402112600
426,ASSAULT,PD210402103141,2100 BLOCK NW 61ST ST,Miami-Dade Police,20210402112300
427,CRIMINAL MISCHIEF / VANDALISM,2104020020574,1000 BLOCK NW NORTH RIVER DR,Miami Police,20210402111900
428,THEFT/LARCENY,PD210419123026,12400 BLOCK SW 88TH ST,Miami-Dade Police,20210402111800
429,THEFT - ALL OTHER,2104020020566,3600 BLOCK BISCAYNE BLVD,Miami Police,20210402111000
430,CRIMINAL MISCHIEF / VANDALISM,2104020020559,0 BLOCK SW 3RD ST,Miami Police,20210402110500
431,THEFT/LARCENY,PD210402103649,13900 BLOCK SW 93RD LN,Miami-Dade Police,20210402110000
432,SIMPLE BATTERY,2104020020557,4200 BLOCK NW 11TH ST,Miami Police,20210402105000
433,PETIT THEFT,2104020020554,900 BLOCK SW 29TH AV,Miami Police,20210402104000
