,Description,IncidentNum,Location,Agency,Date
434,AUTO THEFT,2104020020552,NW 1ST AV / NW 9TH ST,Miami Police,20210402100300
435,ASSAULT,PD210402103068,NW 27TH AVE & NW 71ST ST,Miami-Dade Police,20210402100200
436,MOTOR VEHICLE THEFT,PD210420123757,700 BLOCK NE 149TH ST,Miami-Dade Police,20210402100000
437,VEHICLE BREAK-IN/THEFT,PD210403104308,8200 BLOCK SW 72ND AVE,Miami-Dade Police,20210402100000
438,ASSAULT,PD210402103094,4800 BLOCK NW 72ND AVE,Miami-Dade Police,20210402100000
439,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104020020555,1700 BLOCK NW 27TH AV,Miami Police,20210402093700
440,CRIMINAL MISCHIEF / VANDALISM,2104020020538,1300 BLOCK NW 67TH ST,Miami Police,20210402092000
441,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104020020543,400 BLOCK NW 43RD PL,Miami Police,20210402091600
442,RETAIL THEFT,2104020020534,1600 BLOCK NW 20TH ST,Miami Police,20210402091300
443,GRAND THEFT,2104020020539,200 BLOCK NE 2ND ST,Miami Police,20210402091100
444,THEFT/LARCENY,PD210402103208,12700 BLOCK WOOD ST,Miami-Dade Police,20210402090000
445,BURGLARY - OTHER STRUCTURE,2104020020532,2500 BLOCK NW 1ST ST,Miami Police,20210402085500
446,THEFT - OF MOTOR VEHICLE PARTS,2104020020535,1800 BLOCK NW 21ST ST,Miami Police,20210402085300
447,CRIMINAL MISCHIEF / VANDALISM,2104020020537,200 BLOCK NE 3RD ST,Miami Police,20210402084800
448,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF A CONTROLLED SUBSTANCE,2104020020526,3000 BLOCK SW 8TH ST,Miami Police,20210402083700
449,BATTERY / DOMESTIC,2104020020528,600 BLOCK NW 56TH ST,Miami Police,20210402082700
450,ROBBERY,PD210402102987,7000 BLOCK NW 27TH AVE,Miami-Dade Police,20210402081800
451,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104020020545,3800 BLOCK NW 12TH TER,Miami Police,20210402081600
452,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104020020545,3800 BLOCK NW 12TH TER,Miami Police,20210402081600
453,THEFT/LARCENY,PD210402102994,9800 BLOCK E HIBISCUS ST,Miami-Dade Police,20210402081000
454,THEFT/LARCENY,PD210405106287,16000 BLOCK SW 55TH TER,Miami-Dade Police,20210402080000
455,MOTOR VEHICLE THEFT,PD210405106679,8500 BLOCK SW 152ND AVE,Miami-Dade Police,20210402080000
456,VEHICLE BREAK-IN/THEFT,PD210405106262,MIA-36 ST-BLDG 919-L1,Miami-Dade Police,20210402080000
457,FRAUD,PD210409111190,1000 BLOCK SW 104TH CT,Miami-Dade Police,20210402080000
458,THEFT/LARCENY,PD210421124811,13000 BLOCK SW 42ND ST,Miami-Dade Police,20210402073000
459,ARMED ROBBERY - FIREARM OR OTHER DEADLY WEAPON,2104020020519,600 BLOCK NW 62ND ST,Miami Police,20210402071500
460,THEFT/LARCENY,PD210405106621,600 BLOCK NW 123RD AVE,Miami-Dade Police,20210402070000
461,THEFT/LARCENY,PD210706213588,10000 BLOCK SW 56TH ST,Miami-Dade Police,20210402070000
462,ASSAULT,PD210402103044,1100 BLOCK NW 126 AVE,Miami-Dade Police,20210402070000
463,THEFT - OF MOTOR VEHICLE PARTS,2104020020514,5400 BLOCK SW 5TH ST,Miami Police,20210402064300
464,HOME-INVASION ROBBERY,2104020020510,1200 BLOCK NW 30TH ST,Miami Police,20210402064100
465,CRIMINAL MISCHIEF / VANDALISM,2104020020513,700 BLOCK NE 80TH ST,Miami Police,20210402063400
466,AUTO THEFT,2104020020515,1000 BLOCK NW 63RD ST,Miami Police,20210402061800
467,AUTO THEFT,2104020020515,1000 BLOCK NW 63RD ST,Miami Police,20210402061800
468,THEFT/LARCENY,PD210402103625,JMH MAIN,Miami-Dade Police,20210402055000
469,THEFT/LARCENY,PD210402103415,2300 BLOCK NW 93RD TER,Miami-Dade Police,20210402051900
470,THEFT/LARCENY,PD210403104117,11200 BLOCK NW 17TH AVE,Miami-Dade Police,20210402050000
471,VEHICLE BREAK-IN/THEFT,PD210402102913,8300 BLOCK SW 89TH ST,Miami-Dade Police,20210402050000
472,THEFT/LARCENY,PD210402102876,3100 BLOCK NW 62ND ST,Miami-Dade Police,20210402034900
473,VEHICLE BREAK-IN/THEFT,PD210402103465,4400 BLOCK SW 15TH TER,Miami-Dade Police,20210402030000
474,MOTOR VEHICLE THEFT,PD210402103851,MIA-DOLPHIN-S-L5,Miami-Dade Police,20210402030000
475,VEHICLE BREAK-IN/THEFT,PD210402102851,8400 BLOCK S DIXIE HWY,Miami-Dade Police,20210402022500
476,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104020020504,2300 BLOCK NW 7TH ST,Miami Police,20210402020100
477,THEFT/LARCENY,PD210405106745,2600 BLOCK NW 42ND AVE,Miami-Dade Police,20210402020000
478,CRIMINAL MISCHIEF / VANDALISM,2104020020497,BISCAYNE BLVD / NE 81ST ST,Miami Police,20210402005500
479,ARSON,PD210402102805,800 BLOCK NW 109TH ST,Miami-Dade Police,20210402004900
480,AGGRAVATED ASSAULT,012104000033,"5700 BLOCK SW 19TH ST, WEST PARK",Broward County Sheriff,20210402004800
481,AGGRAVATED ASSAULT,210402006281,8600 BLOCK NW 41ST ST,Doral Police,20210402004700
482,VANDALISM TO VEHICLE,21001856,2300 BLOCK GALIANO ST,Coral Gables Police,20210402004300
483,VANDALISM TO VEHICLE,21001856,2300 BLOCK GALIANO ST,Coral Gables Police,20210402004300
484,ASSAULT,PD210422125932,9900 BLOCK SW 66TH ST,Miami-Dade Police,20210402000000
485,FRAUD,PD210525164726,14800 BLOCK SW 159TH ST,Miami-Dade Police,20210402000000
486,FRAUD,PD210405106676,700 BLOCK NW 127TH PL,Miami-Dade Police,20210402000000
487,AGGRAVATED BATTERY,210402006279,8900 BLOCK NW 97TH AVE,Doral Police,20210401235601
488,GRAND THEFT - FROM MOTOR VEHICLE - $300 TO LESS THAN $5000,2104020020495,1800 BLOCK NW 9TH AV,Miami Police,20210401235601
489,DRUGS/ALCOHOL VIOLATIONS,PD210401102781,SW 40TH TER & SW 102ND AVE,Miami-Dade Police,20210401232201
490,THEFT/LARCENY,PD210404105628,10300 BLOCK SUNSET DR,Miami-Dade Police,20210401231901
491,PETIT THEFT,2104010020487,700 BLOCK NW 51ST ST,Miami Police,20210401231301
492,CRIMINAL MISCHIEF / VANDALISM,2104010020485,400 BLOCK SE 2ND AVE,Miami Police,20210401231001
493,CRIMINAL MISCHIEF / VANDALISM,2104010020481,900 BLOCK SW 4TH ST,Miami Police,20210401225901
494,BATTERY / DOMESTIC,2104010020480,100 BLOCK NW 24TH ST,Miami Police,20210401225201
495,ASSAULT,PD210401102710,5300 BLOCK NW 190TH LN,Miami-Dade Police,20210401223501
496,ASSAULT,PD210401102723,7800 BLOCK W FLAGLER ST,Miami-Dade Police,20210401223001
497,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104010020484,1700 BLOCK NW 1ST AV,Miami Police,20210401222801
498,BATTERY / AGG / DOMESTIC,2104010020475,200 BLOCK NW 25TH ST,Miami Police,20210401220001
499,BATTERY / AGG / DOMESTIC,2104010020475,200 BLOCK NW 25TH ST,Miami Police,20210401220001
500,BATTERY / DOMESTIC,2104010020475,200 BLOCK NW 25TH ST,Miami Police,20210401220001
501,VEHICLE BREAK-IN/THEFT,PD210417120514,900 BLOCK NE 89TH TER,Miami-Dade Police,20210401220001
502,THEFT/LARCENY,PD210901277536,1600 BLOCK NW 12TH AVE,Miami-Dade Police,20210401220001
503,PETIT THEFT - FROM MOTOR VEHICLE / $100 TO LESS THAN,2104010020468,7000 BLOCK NW 15TH AV,Miami Police,20210401215701
504,THEFT/LARCENY,PD210402103496,15700 BLOCK SW 88TH ST,Miami-Dade Police,20210401215501
505,ASSAULT,PD210401102657,2300 BLOCK NW 57TH ST,Miami-Dade Police,20210401214201
506,PETIT THEFT (OPEN),2100905,13500 BLOCK S DIXIE HWY,Pinecrest Police,20210401212001
507,ASSAULT,PD210401102631,17900 BLOCK SW 104TH AVE,Miami-Dade Police,20210401211001
508,BURGLARY - RESIDENCE,2104010020463,1800 BLOCK NW 50TH ST,Miami Police,20210401205201
509,BURGLARY - RESIDENCE,2104010020463,1800 BLOCK NW 50TH ST,Miami Police,20210401205201
510,THEFT OF BICYCLE,2104020020611,400 BLOCK NE 18TH ST,Miami Police,20210401204101
511,ASSAULT,PD210401102655,7000 BLOCK SW 106TH PL,Miami-Dade Police,20210401203001
512,THEFT/LARCENY,PD210401102603,13600 BLOCK S DIXIE HWY,Miami-Dade Police,20210401202201
513,BATTERY / SIMPLE,2104010020456,4100 BLOCK NW 11TH PL,Miami Police,20210401201301
514,BURGLARY,PD210401102613,8900 BLOCK NW 154TH TER,Miami-Dade Police,20210401194801
515,ASSAULT,PD210401102517,SW 141ST ST & JEFFERSON ST,Miami-Dade Police,20210401190101
516,BURGLARY,PD210401102686,900 BLOCK NW 91ST ST,Miami-Dade Police,20210401190001
517,THEFT/LARCENY,PD210401102573,7500 BLOCK SW 88TH ST,Miami-Dade Police,20210401190001
518,VANDALISM,PD210729239633,5400 BLOCK NW 168TH TER,Miami-Dade Police,20210401190001
519,AUTO THEFT,2104010020435,400 BLOCK NW 12TH AV,Miami Police,20210401183901
520,AUTO THEFT,2104010020435,1000 BLOCK NW 5TH ST,Miami Police,20210401183901
521,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2103290019566,300 BLOCK TAMIAMI CANAL RD,Miami Police,20210401183001
522,ASSAULT,PD210401102527,1300 BLOCK NW 13TH ST,Miami-Dade Police,20210401182601
523,DRUGS/ALCOHOL VIOLATIONS,PD210401102496,3000 BLOCK NW 51ST ST,Miami-Dade Police,20210401182201
524,WEAPONS,PD210401102602,NW 27TH AVE & NW 52ND ST,Miami-Dade Police,20210401182001
525,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),2104010020422,NW 7TH CT / NW 12TH ST,Miami Police,20210401181901
526,MOTOR VEHICLE THEFT,PD210413115594,1000 BLOCK SW 68TH AVE,Miami-Dade Police,20210401181501
527,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104010020412,1100 BLOCK NW 7TH CT,Miami Police,20210401174301
528,POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,2104010020415,NW 27TH AV / NW 7TH ST,Miami Police,20210401173201
529,ASSAULT,PD210401102407,7500 BLOCK SW 88TH ST,Miami-Dade Police,20210401172301
530,ASSAULT,PD210401102396,2300 BLOCK NW 70TH AVE,Miami-Dade Police,20210401165501
531,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104010020408,800 BLOCK BISCAYNE BLVD,Miami Police,20210401164701
532,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2104010020408,800 BLOCK BISCAYNE BLVD,Miami Police,20210401164701
533,ASSAULT,PD210401102374,7600 BLOCK NW 27TH AVE,Miami-Dade Police,20210401164501
534,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104010020405,2800 BLOCK NW 27TH AV,Miami Police,20210401164001
535,THEFT/LARCENY,PD210402103024,5700 BLOCK NW 183RD ST,Miami-Dade Police,20210401163001
536,BURGLARY - MAKES AN ASSAULT OR BATTERY UPON ANY PERSON (SIMPLE),2104010020390,100 BLOCK NE 78TH ST,Miami Police,20210401161801
537,BATTERY / SIMPLE,2104010020390,100 BLOCK NE 78TH ST,Miami Police,20210401161801
538,BURGLARY - MAKES AN ASSAULT OR BATTERY UPON ANY PERSON (SIMPLE),2104010020390,100 BLOCK NE 78TH ST,Miami Police,20210401161801
539,THEFT/LARCENY,PD210401102362,15400 BLOCK SW 137TH AVE,Miami-Dade Police,20210401161501
540,FRAUD,PD210401102342,13900 BLOCK OLD CUTLER RD,Miami-Dade Police,20210401161201
541,ASSAULT,PD210401102324,400 BLOCK E 65TH ST,Miami-Dade Police,20210401160101
542,VEHICLE BREAK-IN/THEFT,PD210401102488,7900 BLOCK NW 27TH AVE,Miami-Dade Police,20210401160001
543,THEFT/LARCENY,PD210420123973,15200 BLOCK SW 141ST ST,Miami-Dade Police,20210401160001
544,THEFT/LARCENY,PD210406107603,5900 BLOCK NW 19TH AVE,Miami-Dade Police,20210401160001
545,STRONG ARM ROBBERY - NO FIREARM OR WEAPON,2104010020389,N MIAMI AV / NE 40TH ST,Miami Police,20210401155501
546,STRONG ARM ROBBERY - NO FIREARM OR WEAPON,2104010020389,N MIAMI AV / NE 40TH ST,Miami Police,20210401155501
547,BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),2104010020398,100 BLOCK NW 47TH AV,Miami Police,20210401154801
548,ASSAULT / AGG / WITH AN INTENT TO COMMIT A FELONY,2104010020398,100 BLOCK NW 47TH AV,Miami Police,20210401154801
549,BURGLARY / DWELLING OCCUPIED (NO ASSAULT / BATTERY - NO WEAPON),2104010020398,100 BLOCK NW 47TH AV,Miami Police,20210401154801
550,FRAUD,PD210401102313,5000 BLOCK NW 177TH ST,Miami-Dade Police,20210401154801
551,BATTERY / SIMPLE,2104010020402,800 BLOCK NW 37TH AV,Miami Police,20210401154101
552,THEFT/LARCENY,PD210401102580,2700 BLOCK SW 74TH AVE,Miami-Dade Police,20210401153001
553,THEFT OTHER,21001838,1000 BLOCK SUNSET RD,Coral Gables Police,20210401153001
554,THEFT OTHER,21001838,1000 BLOCK SUNSET RD,Coral Gables Police,20210401153001
555,OFFERING FOR OR ENGAGING IN PROSTITUTION,2104010020373,900 BLOCK NW 27TH AVE,Miami Police,20210401151501
556,SIMPLE ASSAULT / THREATS,21001840,800 BLOCK PONCE DE LEON BLVD,Coral Gables Police,20210401151401
557,FRAUD,PD210401102275,2300 BLOCK NW 70TH AVE,Miami-Dade Police,20210401150501
558,THEFT/LARCENY,PD210407108804,9400 BLOCK SW 170TH ST,Miami-Dade Police,20210401150001
559,THEFT OF AUTOMOBILE,210401006253,2100 BLOCK NW 96TH AVE,Doral Police,20210401144901
560,CRIMINAL MISCHIEF / VANDALISM,2104010020360,2200 BLOCK NW 3RD ST,Miami Police,20210401143901
561,WEAPONS,PD210401102226,MIA-CC D-TSA SECURITY CHECKPOINT 2-L2,Miami-Dade Police,20210401142101
562,SIMPLE BATTERY,2104010020379,2300 BLOCK SW 17TH ST,Miami Police,20210401141501
563,THEFT/LARCENY,PD210401102223,7200 BLOCK SW 88TH ST,Miami-Dade Police,20210401141001
564,AUTO THEFT,2104010020353,SW 17TH AV / SW 4TH ST,Miami Police,20210401140801
565,AUTO THEFT,2104010020353,1100 BLOCK BRICKELL BAY DR,Miami Police,20210401140801
566,AUTO THEFT,2104010020349,NW 19TH AV / W FLAGLER ST,Miami Police,20210401140001
567,FRAUD,PD210401102210,2300 BLOCK NW 70TH AVE,Miami-Dade Police,20210401135601
568,BURGLARY,PD210401102677,14200 BLOCK CARVER DR,Miami-Dade Police,20210401135501
569,"GRAND THEFT - FROM MOTOR VEHICLE - $10,000 TO LESS THAN $20,000",2104010020381,BISCAYNE BLVD / NE 35TH ST,Miami Police,20210401135401
570,BATTERY / SIMPLE,2104010020345,2100 BLOCK NW 36TH ST,Miami Police,20210401135201
571,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104010020362,2200 BLOCK NW 7TH ST,Miami Police,20210401135201
572,BURGLARY/ THEFT FROM AUTO,2100900,10500 BLOCK SW 71ST AV,Pinecrest Police,20210401135001
573,ASSAULT,PD210401102181,500 BLOCK NE 149TH ST,Miami-Dade Police,20210401133701
574,ASSAULT,PD210401102185,16800 BLOCK SW 92ND AVE,Miami-Dade Police,20210401133301
575,FRAUD,PD210414117265,7500 BLOCK SW 88TH ST,Miami-Dade Police,20210401133001
576,FRAUD,PD210401102260,3300 BLOCK NW 72ND AVE,Miami-Dade Police,20210401133001
577,THEFT/LARCENY,PD210401102546,200 BLOCK NW 106TH ST,Miami-Dade Police,20210401132301
578,THEFT - ALL OTHER,2104010020354,1800 BLOCK NW 47TH TER,Miami Police,20210401132201
579,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104010020328,2100 BLOCK SW 6TH ST,Miami Police,20210401130001
580,RESISTING OFFICER W/ VIOLENCE TO HIS PERSON (AGGRAVATED ASSAULT),2104010020334,0 BLOCK SW 9TH ST,Miami Police,20210401125401
581,THEFT/LARCENY,PD210405106366,15700 BLOCK NW 2ND AVE,Miami-Dade Police,20210401122801
582,CRIMINAL MISCHIEF / VANDALISM,2104010020325,6200 BLOCK W FLAGLER ST,Miami Police,20210401120201
583,FRAUD,PD210524163469,19400 BLOCK NW 54TH PL,Miami-Dade Police,20210401120001
584,FRAUD,PD210911288211,13400 BLOCK SW 144TH TER,Miami-Dade Police,20210401120001
585,THEFT/LARCENY,PD210408110369,7800 BLOCK SW 102ND LN,Miami-Dade Police,20210401120001
586,FRAUD,PD210616190940,7400 BLOCK SW 162ND PATH,Miami-Dade Police,20210401120001
587,DRUGS/ALCOHOL VIOLATIONS,PD210401102156,NW 12TH AVE & NW 48TH ST,Miami-Dade Police,20210401114700
588,FRAUD,PD210401102116,9300 BLOCK SW 82ND AVE,Miami-Dade Police,20210401114700
589,VEHICLE BREAK-IN/THEFT,PD210401102076,1700 BLOCK NW 93RD TER,Miami-Dade Police,20210401112500
590,FRAUD,PD210413115819,9200 BLOCK SW 120TH ST,Miami-Dade Police,20210401110000
591,THEFT/LARCENY,PD210402103382,MIA-CC D-TSA SECURITY CHECKPOINT 3-L2,Miami-Dade Police,20210401110000
592,FRAUD,PD210414116730,14000 BLOCK SW 67TH TER,Miami-Dade Police,20210401110000
593,THEFT/LARCENY,PD210401102138,10900 BLOCK NW 14TH AVE,Miami-Dade Police,20210401104900
594,VANDALISM,PD210401102287,W 60TH ST & W 22ND CT,Miami-Dade Police,20210401103500
595,DRUGS/ALCOHOL VIOLATIONS,PD210401102064,6200 BLOCK W 22ND CT,Miami-Dade Police,20210401103400
596,ARSON,PD210401102013,15400 BLOCK NE 6TH AVE,Miami-Dade Police,20210401102800
597,BURGLARY AND THEFT FROM CURTILAGE,21001835,500 BLOCK MINORCA AV,Coral Gables Police,20210401100300
598,FRAUD,PD210406107354,8500 BLOCK SW 125TH TER,Miami-Dade Police,20210401100000
599,CRIMINAL MISCHIEF / VANDALISM,2104010020295,2500 BLOCK NE 2ND AV,Miami Police,20210401095900
600,CRIMINAL MISCHIEF / VANDALISM,2104010020305,1200 BLOCK NW 22ND ST,Miami Police,20210401095600
601,THEFT - FROM MOTOR VEHICLE,2104010020318,1200 BLOCK NW 29TH AV,Miami Police,20210401095200
602,ASSAULT,PD210401101962,12400 BLOCK NW 21ST CT,Miami-Dade Police,20210401093700
603,SIMPLE BATTERY,2104010020294,1200 BLOCK NW 2ND AV,Miami Police,20210401093300
604,ASSAULT,PD210401101961,8800 BLOCK SW 20TH ST,Miami-Dade Police,20210401093200
605,ASSAULT,PD210427131886,200 BLOCK NW 84TH TER,Miami-Dade Police,20210401093000
606,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,2104010020306,1500 BLOCK NW 3RD ST,Miami Police,20210401091000
607,ASSAULT,PD210401101950,9800 BLOCK E HIBISCUS ST,Miami-Dade Police,20210401091000
608,VANDALISM,PD210402103065,15200 BLOCK SW 80TH ST,Miami-Dade Police,20210401090000
609,THEFT/LARCENY,PD210426131012,7300 BLOCK CORAL WAY,Miami-Dade Police,20210401090000
610,FRAUD,PD210430135192,3500 BLOCK NW 82ND ST,Miami-Dade Police,20210401090000
611,THEFT - FROM MOTOR VEHICLE,2104010020278,1200 BLOCK NW 34TH ST,Miami Police,20210401083500
612,THEFT - FROM MOTOR VEHICLE,2104010020278,1200 BLOCK NW 34TH ST,Miami Police,20210401083500
613,MOTOR VEHICLE THEFT,PD210402103027,200 BLOCK NW 84TH ST,Miami-Dade Police,20210401083000
614,SIMPLE BATTERY,2104010020279,100 BLOCK NW 19TH AVE,Miami Police,20210401081600
615,VANDALISM TO PROPERTY,210401006230,9300 BLOCK NW 13TH ST,Doral Police,20210401081100
616,GRAND THEFT - UNSPECIFIED - $300 TO LESS THAN $5000,2104010020275,100 BLOCK SE 1ST AV,Miami Police,20210401080100
617,FRAUD,PD210722231650,5500 BLOCK NW 72ND AVE,Miami-Dade Police,20210401080000
618,THEFT/LARCENY,PD210405106609,10600 BLOCK SW 113TH PL,Miami-Dade Police,20210401080000
619,VEHICLE BREAK-IN/THEFT,PD210525164662,1600 BLOCK SW 99TH CT,Miami-Dade Police,20210401080000
620,FRAUD,PD210521159805,10000 BLOCK SW 58TH ST,Miami-Dade Police,20210401080000
621,MOTOR VEHICLE THEFT,PD210402103025,14000 BLOCK SW 84TH ST,Miami-Dade Police,20210401080000
622,DRUGS/ALCOHOL VIOLATIONS,PD210401101881,6200 BLOCK NW 27TH AVE,Miami-Dade Police,20210401072300
623,FRAUD,PD210608181257,400 BLOCK NW 107TH AVE,Miami-Dade Police,20210401070000
624,THEFT/LARCENY,PD210922300998,3300 BLOCK NW 81ST TER,Miami-Dade Police,20210401070000
625,VANDALISM,PD210411114078,11400 BLOCK SW 183RD TER,Miami-Dade Police,20210401070000
626,THEFT/LARCENY,PD210405106743,17900 BLOCK SW 137TH PL,Miami-Dade Police,20210401070000
627,VEHICLE BREAK-IN/THEFT,PD210401102646,8800 BLOCK SW 136TH ST,Miami-Dade Police,20210401070000
628,BURGLARY,PD210401101887,4700 BLOCK NW 24TH CT,Miami-Dade Police,20210401064500
629,ROBBERY,PD210401101849,4500 BLOCK NW 23RD AVE,Miami-Dade Police,20210401061800
630,ASSAULT,PD210401101843,6200 BLOCK NW 27TH AVE,Miami-Dade Police,20210401055400
631,SIMPLE BATTERY,2104010020261,400 BLOCK NW 9TH ST,Miami Police,20210401052100
632,THEFT/LARCENY,PD210401101895,9700 BLOCK NW 26TH AVE,Miami-Dade Police,20210401040000
633,MOTOR VEHICLE THEFT,PD210402102965,8300 BLOCK SW 137TH AVE,Miami-Dade Police,20210401040000
634,THEFT/LARCENY,PD210401101803,1600 BLOCK NW 119TH ST,Miami-Dade Police,20210401031300
635,THEFT/LARCENY,PD210401102139,10300 BLOCK SW 180TH ST,Miami-Dade Police,20210401022800
636,CRIMINAL MISCHIEF / VANDALISM,2104010020255,NW 8TH AV / NW 18TH ST,Miami Police,20210401021500
637,VANDALISM,PD210401101786,2700 BLOCK NW 57TH ST,Miami-Dade Police,20210401021400
638,AGGRAVATED BATTERY,210331006215,9400 BLOCK NW 13TH ST,Doral Police,20210401020300
639,ROBBERY,PD210401101776,7000 BLOCK NW 72ND AVE,Miami-Dade Police,20210401015100
640,ASSAULT / AGGRAVATED / PERSON 65 YEARS OF AGE OR OLDER,2104010020250,1000 BLOCK NW 31ST ST,Miami Police,20210401011100
641,THEFT/LARCENY,PD210401101760,1200 BLOCK NW 115TH ST,Miami-Dade Police,20210401010900
642,VEHICLE BREAK-IN/THEFT,PD210401102069,800 BLOCK NW 74TH ST,Miami-Dade Police,20210401010000
643,SIMPLE BATTERY,2104010020247,1100 BLOCK BRICKELL BAY DR,Miami Police,20210401005700
644,ASSAULT,PD210401101740,1000 BLOCK NW 106TH ST,Miami-Dade Police,20210401003200
645,ASSAULT / AGG / DOMESTIC,2104010020246,1800 BLOCK NW 51ST TER,Miami Police,20210401003000
646,ATT. FELONY MURDER/PERPETRATES FELONY LISTED 782.04(3) W/O CAUSING DEATH,2104010020246,1800 BLOCK NW 51ST TER,Miami Police,20210401003000
647,ATT. FELONY MURDER/PERPETRATES FELONY LISTED 782.04(3) W/O CAUSING DEATH,2104010020246,1800 BLOCK NW 51ST TER,Miami Police,20210401003000
