,Description,IncidentNum,Location,Agency,Date
648,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),2104010020236,NW 2ND AV / NW 18TH ST,Miami Police,20210401000900
649,MOTOR VEHICLE THEFT,PD210520159074,20900 BLOCK SAN SIMEON WAY,Miami-Dade Police,20210401000000
650,THEFT/LARCENY,PD210401102335,10700 BLOCK NW 27TH AVE,Miami-Dade Police,20210401000000
651,FRAUD,PD210527166454,1900 BLOCK NW 47TH TER,Miami-Dade Police,20210401000000
652,BURGLARY,PD210520158422,SW 180TH ST & SW 187TH AVE,Miami-Dade Police,20210401000000
653,THEFT/LARCENY,PD210421125101,13300 BLOCK SW 88TH TER,Miami-Dade Police,20210401000000
654,IDENTITY THEFT,2102225,12500 BLOCK CRESCENT WAY,Pinecrest Police,20210401000000
655,THEFT/LARCENY,PD210505141149,8200 BLOCK NW 68TH ST,Miami-Dade Police,20210401000000
656,VANDALISM,PD210401101758,8500 BLOCK SW 124TH AVE,Miami-Dade Police,20210401000000
657,THEFT/LARCENY,PD210630206842,14800 BLOCK SW 140TH PL,Miami-Dade Police,20210401000000
658,FRAUD,PD210524163352,6300 BLOCK SW 91ST AVE,Miami-Dade Police,20210401000000
659,THEFT/LARCENY,PD210331101694,6300 BLOCK NW 18TH AVE,Miami-Dade Police,20210331232501
660,THEFT FROM MOTOR VEHICLE,21001829,1000 BLOCK ALFONSO AV,Coral Gables Police,20210331231701
661,THEFT BY SHOPLIFTING,210331006205,1400 BLOCK NW 107TH AVE,Doral Police,20210331230001
662,ASSAULT,PD210331101658,NW 112TH ST & NW 7TH AVE,Miami-Dade Police,20210331224801
663,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2103310020223,100 BLOCK NW 20TH ST,Miami Police,20210331223201
664,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2103310020223,100 BLOCK NW 20TH ST,Miami Police,20210331223201
665,ASSAULT,PD210331101667,NW 57TH AVE & GRATIGNY OFF RAMP,Miami-Dade Police,20210331223001
666,VEHICLE BREAK-IN/THEFT,PD210401102651,8800 BLOCK SW 172ND AVE,Miami-Dade Police,20210331223001
667,AGGRAVATED BATTERY,2103310020226,NATOMA ST / SECOFFEE ST,Miami Police,20210331221201
668,THEFT BY SHOPLIFTING,210331006211,9600 BLOCK NW 41ST ST,Doral Police,20210331220501
669,THEFT/LARCENY,PD210406108052,200 BLOCK NE 185TH ST,Miami-Dade Police,20210331220001
670,FELONY DOMESTIC BATTERY BY STRANGULATION (MINOR INJURIES),2103310020227,1600 BLOCK NW 4TH AV,Miami Police,20210331215601
671,CRIMINAL MISCHIEF / VANDALISM,2103310020215,2400 BLOCK NW 35TH ST,Miami Police,20210331215001
672,ASSAULT,PD210331101660,18000 BLOCK SW 197TH AVE,Miami-Dade Police,20210331215001
673,MOTOR VEHICLE THEFT,PD210331101588,NW 27TH AVE & NW 71ST ST,Miami-Dade Police,20210331213201
674,ASSAULT,PD210331101601,20100 BLOCK NW 84TH AVE,Miami-Dade Police,20210331213001
675,THEFT - ALL OTHER,2103310020212,1700 BLOCK N BAYSHORE DR,Miami Police,20210331212601
676,AGGRAVATED ASSAULT,2103310020211,3100 BLOCK NE 7TH AV,Miami Police,20210331211901
677,BURGLARY TO MOTOR VEHICLE,210331006207,8900 BLOCK NW 20TH ST,Doral Police,20210331211901
678,ASSAULT,PD210331101626,14600 BLOCK NW 185TH ST,Miami-Dade Police,20210331210001
679,THEFT/LARCENY,PD210331101551,8900 BLOCK NW 22ND AVE,Miami-Dade Police,20210331205201
680,THEFT/LARCENY,PD210331101565,10200 BLOCK SW 177TH ST,Miami-Dade Police,20210331204701
681,AGGRAVATED BATTERY,2103310020199,100 BLOCK NE 64TH ST,Miami Police,20210331203601
682,AGGRAVATED BATTERY,2103310020199,100 BLOCK NE 64TH ST,Miami Police,20210331203601
683,THEFT BY SHOPLIFTING,21001827,1900 BLOCK PONCE DE LEON BLVD,Coral Gables Police,20210331203501
684,CRIMINAL MISCHIEF / VANDALISM,2103310020204,100 BLOCK SW 63RD CT,Miami Police,20210331202901
685,THEFT OF AUTOMOBILE,210331006203,1400 BLOCK NW 107TH AVE,Doral Police,20210331202001
686,MURDER / DANGEROUS ACT EVINCING A DEPRAVED MIND W/O PREMED / 2ND DEG.,2103310020206,1700 BLOCK NW 41ST ST,Miami Police,20210331201801
687,THEFT/LARCENY,PD210331101519,NW 103RD ST & NW 15TH AVE,Miami-Dade Police,20210331201501
688,FRAUD,PD210401102411,15800 BLOCK SW 150TH CT,Miami-Dade Police,20210331200001
689,THEFT BY SHOPLIFTING,210331006200,1400 BLOCK NW 107TH AVE,Doral Police,20210331194801
690,PERSON IN ACTUAL OR CONSTRUCTIVE POSSESSION OF COCAINE (POWDER OR CRACK),2103310020193,NW 14TH AV / NW 5TH ST,Miami Police,20210331194201
691,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2103310020195,5100 BLOCK NW 7TH ST,Miami Police,20210331194101
692,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2103310020195,5100 BLOCK NW 7TH ST,Miami Police,20210331194101
693,BATTERY / SIMPLE,2103310020203,2400 BLOCK NW 35TH ST,Miami Police,20210331193801
694,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2103310020184,6300 BLOCK NE 2ND AV,Miami Police,20210331193501
695,VEHICLE BREAK-IN/THEFT,PD210401101891,00 BLOCK NW 84TH ST,Miami-Dade Police,20210331193001
696,CRIMINAL MISCHIEF / VANDALISM,2103310020181,300 BLOCK NE 61ST ST,Miami Police,20210331192201
697,OBTAINING FOOD OR LODGING WITH INTENT TO DEFRAUD: LESS THAN $300,2103310020182,300 BLOCK NW 24TH ST,Miami Police,20210331192101
698,ASSAULT,PD210331101469,7000 BLOCK NW 41ST ST,Miami-Dade Police,20210331191701
699,CANNABIS/SELL/MAN/DELIVER/POSSESS W/ INTENT,2103310020174,NW 13TH AV / NW 36TH ST,Miami Police,20210331190301
700,FRAUD,PD210331101706,15000 BLOCK SW 115TH TER,Miami-Dade Police,20210331190001
701,VEHICLE BREAK-IN/THEFT,PD210401102253,6900 BLOCK MAIN ST,Miami-Dade Police,20210331190001
702,ASSAULT,PD210331101470,19600 BLOCK NW 52ND PL,Miami-Dade Police,20210331190001
703,MOTOR VEHICLE THEFT,PD210331101439,NW 32ND AVE & NW 99TH ST,Miami-Dade Police,20210331185801
704,DRUGS/ALCOHOL VIOLATIONS,PD210331101411,3100 BLOCK NW 53RD ST,Miami-Dade Police,20210331185101
705,THEFT/LARCENY,PD210713221713,9100 BLOCK SW 137TH AVE,Miami-Dade Police,20210331184001
706,PETIT THEFT,2103310020178,0 BLOCK E FLAGLER ST,Miami Police,20210331182201
707,THEFT/LARCENY,PD210331101496,15000 BLOCK SW 88TH ST,Miami-Dade Police,20210331182201
708,AUTO THEFT,012103000980,"4100 BLOCK SW 23RD ST, WEST PARK",Broward County Sheriff,20210331181801
709,BATTERY / SIMPLE,2103310020166,3200 BLOCK NE MIAMI CT,Miami Police,20210331181401
710,"GRAND THEFT - MOTOR VEHICLE (LESS THAN $100,000)",2103310020160,1100 BLOCK BRICKELL AV,Miami Police,20210331181001
711,FRAUD,PD210401102052,6000 BLOCK NW 167TH ST,Miami-Dade Police,20210331180001
712,VEHICLE BREAK-IN/THEFT,PD210401102038,8200 BLOCK SW 72ND AVE,Miami-Dade Police,20210331180001
713,VEHICLE BREAK-IN/THEFT,PD210401101876,12100 BLOCK SW 114TH PL,Miami-Dade Police,20210331180001
714,VEHICLE BREAK-IN/THEFT,PD210401101933,12100 BLOCK SW 114TH PL,Miami-Dade Police,20210331180001
715,THEFT - ALL OTHER,2103310020175,100 BLOCK NW 6TH ST,Miami Police,20210331175001
716,THEFT/LARCENY,PD210331101381,11200 BLOCK SW 152ND ST,Miami-Dade Police,20210331174701
717,MOTOR VEHICLE THEFT,PD210331101378,NW 7TH AVE & NW 81ST ST,Miami-Dade Police,20210331174701
718,MOTOR VEHICLE THEFT,PD210402103108,8200 BLOCK SW 72ND AVE,Miami-Dade Police,20210331173001
719,VEHICLE BREAK-IN/THEFT,PD210331101361,10400 BLOCK NW 7TH AVE,Miami-Dade Police,20210331172801
720,ROBBERY BY SUDDEN SNATCH - WITH FORCE,2103310020169,1600 BLOCK NW 27TH AVE,Miami Police,20210331172801
721,THEFT/LARCENY,PD210419122835,15200 BLOCK SW 81ST TER,Miami-Dade Police,20210331170001
722,ASSAULT,PD210331101327,NW 26TH ST & NW 42ND AVE,Miami-Dade Police,20210331170001
723,THEFT/LARCENY,PD210407108844,8200 BLOCK NW 1ST PL,Miami-Dade Police,20210331170001
724,MOTOR VEHICLE THEFT,PD210331101478,8300 BLOCK NW 27TH AVE,Miami-Dade Police,20210331170001
725,CRIMINAL MISCHIEF / VANDALISM,2103310020147,NW 2 AVENUE AND NW 28 ST,Miami Police,20210331164401
726,FRAUDULENT USE OF PERSONAL IDENTIFICATION INFORMATION,2103310020151,1700 BLOCK NW 30TH ST,Miami Police,20210331164301
727,ASSAULT,PD210331101359,9300 BLOCK NW 33RD CT,Miami-Dade Police,20210331163901
728,DRUGS/ALCOHOL VIOLATIONS,PD210331101248,NE 68TH ST & N MIAMI AVE,Miami-Dade Police,20210331163001
729,VEHICLE BREAK-IN/THEFT,PD210331101319,9500 BLOCK NW 27TH AVE,Miami-Dade Police,20210331163001
730,ORGANIZED FRAUD: ENGAGES IN SCHEME - COMMUNICATES WITH VICTIM - $300 OR MORE,2103310020142,2700 BLOCK BISCAYNE BLVD,Miami Police,20210331162801
731,ASSAULT,PD210331101279,1700 BLOCK SW 98TH AVE,Miami-Dade Police,20210331162101
732,GRAND THEFT,2103310020140,3600 BLOCK PERCIVAL AV,Miami Police,20210331161301
733,THEFT - FROM MOTOR VEHICLE,2103310020131,900 BLOCK NW 9TH CT,Miami Police,20210331160401
734,THEFT/LARCENY,PD210331101367,13800 BLOCK SW 56TH ST,Miami-Dade Police,20210331160001
735,ASSAULT,PD210331101256,2200 BLOCK NW 102ND ST,Miami-Dade Police,20210331155601
736,ASSAULT,PD210331101258,10200 BLOCK SW 179TH ST,Miami-Dade Police,20210331154201
737,GRAND THEFT - RETAIL - $300 TO LESS THAN $5000,2103310020138,3700 BLOCK NW 7TH ST,Miami Police,20210331153701
738,ASSAULT,PD210331101273,400 BLOCK NW 165TH ST,Miami-Dade Police,20210331153001
739,ASSAULT,PD210331101233,NW 95TH AVE & NW 34TH ST,Miami-Dade Police,20210331153001
740,THEFT - FROM MOTOR VEHICLE,2103310020118,1400 BLOCK NW 65TH ST,Miami Police,20210331151901
741,RETAIL THEFT,2103310020122,3100 BLOCK N MIAMI AV,Miami Police,20210331151801
742,THEFT BY SHOPLIFTING,210331006193,1400 BLOCK NW 107TH AVE,Doral Police,20210331151701
743,BATTERY,012103000972,"4700 BLOCK SW 27TH ST, WEST PARK",Broward County Sheriff,20210331151001
744,THEFT/LARCENY,PD210401101989,1200 BLOCK NW 115TH ST,Miami-Dade Police,20210331150001
745,BURGLARY,PD210401102025,14800 BLOCK SW 67TH LN,Miami-Dade Police,20210331150001
746,THEFT/LARCENY,PD210331101185,14700 BLOCK NE 6TH AVE,Miami-Dade Police,20210331145001
747,THEFT - OF MOTOR VEHICLE PARTS,2103310020106,SW 16TH AVE AND SW 8TH ST,Miami Police,20210331144301
748,BURGLARY / CURTILAGE OF ANY OTHER STRUCTURE - THEFT OF $300 OR GREATER,2103310020115,2300 BLOCK SW 14TH ST,Miami Police,20210331144201
749,CARRYING CONCEALED FIREARM,2103310020112,100 BLOCK NW 75TH ST,Miami Police,20210331142101
750,BATTERY / AGGRAVATED / PERSON 65 YEARS OF AGE OR OLDER,2103310020107,3600 BLOCK NW 20TH CT,Miami Police,20210331141501
751,BATTERY / AGGRAVATED / PERSON 65 YEARS OF AGE OR OLDER,2103310020107,3600 BLOCK NW 20TH CT,Miami Police,20210331141501
752,RETAIL THEFT,2103310020110,3400 BLOCK N MIAMI AV,Miami Police,20210331141401
753,ASSAULT / SIMPLE,2103310020099,0 BLOCK E FLAGLER ST,Miami Police,20210331140801
754,CRIMINAL MISCHIEF (OVER $200 LESS THAN $1000),2103310020105,2600 BLOCK NW 3RD AV,Miami Police,20210331140301
755,CRIMINAL MISCHIEF (OVER $200 LESS THAN $1000),2103310020105,2600 BLOCK NW 3RD AV,Miami Police,20210331140301
756,BURGLARY - RESIDENCE,2103290019551,700 BLOCK NW 32ND AV,Miami Police,20210331140001
757,THEFT/LARCENY,PD210408110479,5700 BLOCK SW 149TH PL,Miami-Dade Police,20210331140001
758,THEFT/LARCENY,PD210331101164,7700 BLOCK W FLAGLER ST,Miami-Dade Police,20210331135501
759,VANDALISM,PD210331101116,1200 BLOCK NW 95TH ST,Miami-Dade Police,20210331135101
760,THEFT/LARCENY,PD210331101122,4700 BLOCK NW 183RD ST,Miami-Dade Police,20210331135001
761,THEFT/LARCENY,PD210331101265,MIA-CC H-GATE 9 LOUNGE-L2,Miami-Dade Police,20210331134001
762,SIMPLE STALKING,2100889,13400 BLOCK SW 80TH RD,Pinecrest Police,20210331132701
763,"GRAND THEFT - GOLF CARTS, DUNE/SWAMP BUGGIES, GO-CARTS, ATV'S, ETC  $300",2103310020094,200 BLOCK E FLAGLER ST,Miami Police,20210331132201
764,ASSAULT,PD210331101160,7900 BLOCK NW 27TH AVE,Miami-Dade Police,20210331131401
765,VEHICLE BREAK-IN/THEFT,PD210331101081,11200 BLOCK SW 157TH AVE,Miami-Dade Police,20210331130001
766,OVERDUE RENTAL,2103310020082,5300 BLOCK NW 7TH AV,Miami Police,20210331125401
767,OVERDUE RENTAL,2103310020082,5300 BLOCK NW 7TH AV,Miami Police,20210331125401
768,THEFT OTHER,210331006181,5300 BLOCK NW 87TH AVE,Doral Police,20210331124901
769,RETAIL THEFT,2103310020093,5200 BLOCK W FLAGLER ST,Miami Police,20210331123601
770,RETAIL THEFT,2103310020093,5200 BLOCK W FLAGLER ST,Miami Police,20210331123601
771,AUTO THEFT,2103310020080,800 BLOCK SW 8TH ST,Miami Police,20210331123201
772,AUTO THEFT,2103310020080,800 BLOCK SW 8TH ST,Miami Police,20210331123201
773,OVERDUE RENTAL,2103310020081,5300 BLOCK NW 7TH AVE,Miami Police,20210331122601
774,OVERDUE RENTAL,2103310020081,5300 BLOCK NW 7TH AVE,Miami Police,20210331122601
775,PETIT THEFT - RETAIL / LESS THAN $100,2103310020089,100 BLOCK NE 2ND AV,Miami Police,20210331121901
776,ASSAULT,PD210331100993,SW 103RD AVE & SW 175TH ST,Miami-Dade Police,20210331121201
777,AGGRAVATED BATTERY,2103310020083,SW 8TH ST / SW 36TH CT,Miami Police,20210331120701
778,VANDALISM,PD210331101098,2300 BLOCK NW 99TH ST,Miami-Dade Police,20210331120101
779,THEFT/LARCENY,PD210413115955,2100 BLOCK SW 58TH AVE,Miami-Dade Police,20210331120001
780,THEFT/LARCENY,PD210403104216,5200 BLOCK NW 27TH AVE,Miami-Dade Police,20210331120001
781,THEFT/LARCENY,PD210331101417,5100 BLOCK BLUE LAGOON DR,Miami-Dade Police,20210331120001
782,BURGLARY,PD210331100997,900 BLOCK NE 149TH ST,Miami-Dade Police,20210331115900
783,VEHICLE BREAK-IN/THEFT,PD210331100984,9400 BLOCK SW 80TH ST,Miami-Dade Police,20210331115800
784,ROBBERY - ARMED,2103310020076,1700 BLOCK NW 31ST AV,Miami Police,20210331114100
785,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2103310020075,7000 BLOCK NE 2ND AV,Miami Police,20210331113700
786,BURGLARY - RESIDENCE,2103310020074,1200 BLOCK NW 30TH ST,Miami Police,20210331113400
787,THEFT OTHER,210331006178,7700 BLOCK NW 46TH ST,Doral Police,20210331113200
788,VANDALISM OTHER,2100892,8300 BLOCK SW 132ND ST,Pinecrest Police,20210331113000
789,SIMPLE BATTERY,2103310020070,2800 BLOCK S BAYSHORE DR,Miami Police,20210331112900
790,THEFT - FROM MOTOR VEHICLE,2103310020108,1700 BLOCK NW 4TH ST,Miami Police,20210331112800
791,THEFT FROM STRUCTURE  WITH LEGAL ACCESS / PUBLIC BUILDING,21001816,600 BLOCK LEUCADENDRA DR,Coral Gables Police,20210331112300
792,THEFT - FROM MOTOR VEHICLE,2103310020078,3400 BLOCK PAN AMERICAN DR,Miami Police,20210331112200
793,THEFT - ALL OTHER,2103310020071,500 BLOCK NE 83RD ST,Miami Police,20210331110700
794,FRAUD,PD210401102442,900 BLOCK NW 102ND ST,Miami-Dade Police,20210331110000
795,THEFT/LARCENY,PD210401101990,MIA-CC D-TSA SECURITY CHECKPOINT 1-L2,Miami-Dade Police,20210331110000
796,ASSAULT,PD210331100924,7900 BLOCK NW 2ND ST,Miami-Dade Police,20210331105800
797,BATTERY / SIMPLE,2103310020062,3000 BLOCK W FLAGLER ST,Miami Police,20210331105200
798,RETAIL THEFT,2103310020061,1200 BLOCK NW 36TH ST,Miami Police,20210331104900
799,VANDALISM,PD210331100964,NW 18TH AVE & NW 62ND ST,Miami-Dade Police,20210331104600
800,ASSAULT,PD210331100907,1100 BLOCK NW 104TH ST,Miami-Dade Police,20210331104300
801,VEHICLE BREAK-IN/THEFT,PD210331100936,19600 BLOCK NW 59TH PL,Miami-Dade Police,20210331104300
802,CRIMINAL MISCHIEF / VANDALISM,2103310020069,400 BLOCK SW 27TH AV,Miami Police,20210331103800
803,FRAUDULENTLY USING PERSONAL IDENTIFICATION,2103310020055,2100 BLOCK NW 37TH ST,Miami Police,20210331103500
804,CRIMINAL MISCHIEF (OVER $200 LESS THAN $1000),2103310020056,2600 BLOCK NW 5TH AVE,Miami Police,20210331101900
805,THEFT/LARCENY,PD210331101089,8600 BLOCK NW 58TH ST,Miami-Dade Police,20210331101800
806,THEFT/LARCENY,PD210331100891,7200 BLOCK N KENDALL DR,Miami-Dade Police,20210331101500
807,THEFT/LARCENY,PD210331101434,7300 BLOCK NW 11TH ST,Miami-Dade Police,20210331100000
808,THEFT/LARCENY,PD210416119959,100 BLOCK NE 151ST ST,Miami-Dade Police,20210331100000
809,VEHICLE BREAK-IN/THEFT,PD210404105904,3900 BLOCK SW 78TH CT,Miami-Dade Police,20210331100000
810,VANDALISM,PD210402103056,18200 BLOCK NW 68TH AVE,Miami-Dade Police,20210331100000
811,THEFT/LARCENY,PD210331101291,8900 BLOCK SW 150TH CT CIR W,Miami-Dade Police,20210331100000
812,ASSAULT,PD210331101174,900 BLOCK NW 110TH ST,Miami-Dade Police,20210331100000
813,THEFT/LARCENY,PD210331101112,6100 BLOCK SW 22ND ST,Miami-Dade Police,20210331100000
814,VANDALISM TO BUSINESS,2100888,8800 BLOCK S DIXIE HWY,Pinecrest Police,20210331094500
815,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2103260018931,2900 BLOCK NW 7TH ST,Miami Police,20210331093700
816,THEFT - ALL OTHER,2103310020040,1300 BLOCK NW 41ST ST,Miami Police,20210331093400
817,VANDALISM,PD210331100843,2100 BLOCK NW 62ND ST,Miami-Dade Police,20210331091400
818,THEFT/LARCENY,PD210407108781,3000 BLOCK NW 86TH ST,Miami-Dade Police,20210331090000
819,ASSAULT,PD210331100860,15100 BLOCK NE 6TH AVE,Miami-Dade Police,20210331090000
820,CRIMINAL MISCHIEF / VANDALISM,2103310020038,500 BLOCK N MIAMI AVE,Miami Police,20210331085300
821,THEFT - ALL OTHER,2103310020023,2700 BLOCK TIGER TAIL AV,Miami Police,20210331085000
822,BURGLARY/CONVEYANCE: NO LOSS (EVEN IF DAMAGED),2103310020028,3200 BLOCK NW 22ND AV,Miami Police,20210331083100
823,BATTERY / SIMPLE,2103310020030,1100 BLOCK NW 2ND AV,Miami Police,20210331083000
824,BATTERY / SIMPLE,2103310020030,1100 BLOCK NW 2ND AV,Miami Police,20210331083000
825,HOMICIDE,PD210331100774,5200 BLOCK NW 27TH AVE,Miami-Dade Police,20210331082500
826,CRIMINAL MISCHIEF / VANDALISM,2103310020031,2800 BLOCK MC FARLANE RD,Miami Police,20210331082400
827,THEFT/LARCENY,PD210331101087,11900 BLOCK SW 152ND ST,Miami-Dade Police,20210331082200
828,BURGLARY - RESIDENCE,2103310020021,1300 BLOCK NW 67TH ST,Miami Police,20210331080800
829,FRAUD,PD210407108592,10400 BLOCK SW 154TH CT,Miami-Dade Police,20210331080000
830,FRAUD,PD210407109385,3500 BLOCK NW 99TH ST,Miami-Dade Police,20210331080000
831,THEFT/LARCENY,PD210401102222,1100 BLOCK NW 79TH ST,Miami-Dade Police,20210331080000
832,FRAUD,PD210401102024,10900 BLOCK SW 142ND LN,Miami-Dade Police,20210331080000
833,THEFT/LARCENY,PD210510146837,8300 BLOCK NW 37TH AVE,Miami-Dade Police,20210331080000
834,"GRAND THEFT - GOLF CARTS, DUNE/SWAMP BUGGIES, GO-CARTS, ATV'S, ETC  $300",2103310020018,900 BLOCK  NW 1ST AVE,Miami Police,20210331074400
835,"GRAND THEFT - GOLF CARTS, DUNE/SWAMP BUGGIES, GO-CARTS, ATV'S, ETC  $300",2103310020018,900 BLOCK  NW 1ST AVE,Miami Police,20210331074400
836,ASSAULT / AGG,2103310020012,600 BLOCK NW 46TH ST,Miami Police,20210331074000
837,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2103310020004,200 BLOCK SW 12TH ST,Miami Police,20210331072300
838,PETIT THEFT,2103310020007,3600 BLOCK S DIXIE HWY,Miami Police,20210331071400
839,RETAIL THEFT,2103310020007,3600 BLOCK S DIXIE HWY,Miami Police,20210331071400
840,THEFT/LARCENY,PD210401102230,2200 BLOCK NW 49TH ST,Miami-Dade Police,20210331070000
841,FRAUD,PD210408109719,10400 BLOCK SW 41ST ST,Miami-Dade Police,20210331065400
842,THEFT/LARCENY,PD210405106978,MIA-CC H-MAIN LOBBY-L2,Miami-Dade Police,20210331064500
843,MOTOR VEHICLE THEFT,PD210331100684,15300 BLOCK SW 20TH LN,Miami-Dade Police,20210331045300
844,ASSAULT,PD210331100679,1500 BLOCK NW 102ND ST,Miami-Dade Police,20210331043000
845,PETIT THEFT - RETAIL / LESS THAN $100,2103310019991,800 BLOCK SW 8TH ST,Miami Police,20210331041400
846,HOME-INVASION ROBBERY,2103310019990,1600 BLOCK  BISCAYNE BLVD,Miami Police,20210331034800
847,HOME-INVASION ROBBERY,2103310019990,1600 BLOCK  BISCAYNE BLVD,Miami Police,20210331034800
848,VANDALISM,PD210331100672,1100 BLOCK NW 104TH ST,Miami-Dade Police,20210331032900
849,THEFT/LARCENY,PD210331100663,11800 BLOCK NW 7TH AVE,Miami-Dade Police,20210331032800
850,THEFT - ALL OTHER,2103310019981,1500 BLOCK NW 37TH ST,Miami Police,20210331022500
851,VEHICLE BREAK-IN/THEFT,PD210331100649,300 BLOCK NE 163RD ST,Miami-Dade Police,20210331022300
852,DUI - UNDER INFLUENCE OF ALCOHOL OR CHEMICAL SUBSTANCE: FACULTIES IMPAIRED,2103310019979,SW 17TH AV / SW 8TH ST,Miami Police,20210331022200
853,CRIMINAL MISCHIEF / VANDALISM,2103310019976,200 BLOCK NE 14TH ST,Miami Police,20210331015600
854,BATTERY,012103000947,"4000 BLOCK SW 19TH ST, WEST PARK",Broward County Sheriff,20210331014500
855,ASSAULT,PD210331100628,18800 BLOCK BELVIEW DR,Miami-Dade Police,20210331013900
856,ASSAULT,PD210331100605,3100 BLOCK NW 38TH ST,Miami-Dade Police,20210331005200
857,THEFT - ALL OTHER,2103310019969,NW 21ST ST / NW 7TH AV,Miami Police,20210331004500
858,BATTERY / DOMESTIC,2103300019964,2200 BLOCK FLAGLER ST,Miami Police,20210331003000
859,BURGLARY,PD210331100592,17500 BLOCK S DIXIE HWY,Miami-Dade Police,20210331001500
860,ASSAULT,PD210331100588,10700 BLOCK SW 148TH AVE DR,Miami-Dade Police,20210331000500
861,THEFT/LARCENY,PD210331100589,UNKNOWN ADDRESS,Miami-Dade Police,20210331000000
862,FRAUD,PD210408110307,13400 BLOCK SW 52ND ST,Miami-Dade Police,20210331000000
